BestN:20, BestA:21, BestF:0.009034, AvgF:0.024749
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024815
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024985
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024745
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025083
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025617
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025467
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025495
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024957
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025988
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025862
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025889
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025746
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026061
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025803
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025993
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025919
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025365
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025388
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025194
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025311
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024785
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025198
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025180
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025150
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024812
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025004
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024477
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024843
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024900
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024763
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025168
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025280
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025301
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025176
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025457
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025583
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025257
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024758
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024836
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025078
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024979
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024907
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024520
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024923
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024635
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025105
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025522
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026072
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025804
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025481
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025290
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025355
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025034
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024807
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025019
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025169
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025139
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025240
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024677
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024877
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024970
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024959
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025069
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024571
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025082
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025060
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024607
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024530
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024470
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024348
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024328
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024280
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024943
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024908
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024947
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024733
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025019
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024692
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024765
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024659
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025401
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025346
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024708
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024452
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025296
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025339
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025287
